福建地方,#genre#
CCTV13 3.5M576,http://39.135.225.5:18890/PLTV/88888888/224/3221225817/index.m3u8
CCTV14 2.5M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225819/index.m3u8
CCTV14 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225933/index.m3u8
CCTV15 3.5M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225818/index.m3u8
CCTV17 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226990/index.m3u8
CCTV17 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226990/index.m3u8
CCTV17 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226986/index.m3u8
CCTV17 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226986/index.m3u8
中国教育1 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226954/index.m3u8
东南卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226877/index.m3u8
东方卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225828/index.m3u8
东方卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226873/index.m3u8
东方卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225936/index.m3u8
北京卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225826/index.m3u8
北京卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225937/index.m3u8
天津卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225830/index.m3u8
天津卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225941/index.m3u8
安徽卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225844/index.m3u8
安徽卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226942/index.m3u8
安徽卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225945/index.m3u8
山东卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225843/index.m3u8
山东卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226928/index.m3u8
山东卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225943/index.m3u8
广东卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225824/index.m3u8
广东卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226946/index.m3u8
广东卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225942/index.m3u8
江苏卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225847/index.m3u8
江苏卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226869/index.m3u8
江苏卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225930/index.m3u8
江西卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221227022/index.m3u8
江西卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225834/index.m3u8
江西卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225868/index.m3u8
浙江卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225825/index.m3u8
浙江卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225934/index.m3u8
深圳卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225848/index.m3u8
深圳卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225938/index.m3u8
湖北卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225840/index.m3u8
湖北卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226863/index.m3u8
湖北卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225948/index.m3u8
湖南卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225827/index.m3u8
湖南卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226924/index.m3u8
湖南卫视 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225935/index.m3u8
贵州卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226827/index.m3u8
辽宁卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225832/index.m3u8
辽宁卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225947/index.m3u8
辽宁卫视 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226881/index.m3u8
重庆卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225831/index.m3u8
重庆卫视 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225949/index.m3u8
黑龙江卫视 3.5M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225862/index.m3u8
